Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3
10/21/2019 05:30:13 pm	0.050	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.051	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.052	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.053	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.054	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.055	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.056	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.057	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.058	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.059	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.060	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.061	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.062	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.063	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.064	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.065	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.066	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.067	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.068	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.069	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.070	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.071	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.072	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.073	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.074	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.075	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.076	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.077	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.078	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.079	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.080	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.081	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.082	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.083	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.084	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.085	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.086	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.087	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.088	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.089	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.090	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.091	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.092	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.093	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.094	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.095	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.096	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.097	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.098	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.099	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.100	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.101	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.102	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.103	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.104	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.105	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.106	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.107	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.108	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.109	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.110	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.111	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.112	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.113	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.114	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.115	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.116	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.117	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.118	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.119	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.120	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.121	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.122	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.123	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.124	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.125	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.126	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.127	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.128	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.129	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.130	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.131	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.132	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.133	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.134	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.135	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.136	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.137	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.138	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.139	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.140	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.141	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.142	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.143	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.144	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.145	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.146	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.147	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.148	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.149	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.150	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.151	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.152	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.153	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.154	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.155	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.156	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.157	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.158	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.159	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.160	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.161	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.162	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.163	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.164	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.165	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.166	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.167	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.168	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.169	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.170	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.171	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.172	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.173	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.174	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.175	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.176	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.177	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.178	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.179	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.180	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.181	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.182	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.183	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.184	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.185	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.186	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.187	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.188	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.189	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.190	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.191	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.192	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.193	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.194	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.195	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.196	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.197	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.198	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.199	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.200	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.201	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.202	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.203	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.204	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.205	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.206	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.207	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.208	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.209	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.210	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.211	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.212	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.213	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.214	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.215	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.216	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.217	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.218	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.219	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.220	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.221	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.222	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.223	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.224	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.225	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.226	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.227	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.228	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.229	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.230	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.231	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.232	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.233	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.234	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.235	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.236	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.237	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.238	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.239	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.240	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.241	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.242	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.243	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.244	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.245	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.246	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.247	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.248	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.249	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.250	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.251	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.252	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.253	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.254	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.255	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.256	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.257	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.258	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.259	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.260	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.261	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.262	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.263	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.264	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.265	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.266	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.267	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.268	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.269	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.270	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.271	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.272	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.273	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.274	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.275	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.276	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.277	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.278	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.279	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.280	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.281	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.282	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.283	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.284	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.285	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.286	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.287	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.288	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.289	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.290	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.291	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.292	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.293	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.294	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.295	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.296	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.297	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.298	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.299	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.300	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.301	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.302	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.303	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.304	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.305	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.306	0.000	0.000	0.000	0.0000	0.000	0.000
10/21/2019 05:30:13 pm	0.307	0.000	0.000	0.000	0.0000	0.000	0.000
